図番/型式,品名,手配数,数量,入荷状況
HFC6-3030-S,フレームキャップ,6,6.0,○
HFS6-3030-1455,アルミフレーム,3,3.0,○
HFS6-3030-1485,アルミフレーム,2,2.0,○
HFS6-3030-1940,アルミフレーム,5,5.0,○
HFS6-3030-340,アルミフレーム,4,4.0,○
HFS6-3030-343,アルミフレーム,4,4.0,○
HFS6-3030-400,アルミフレーム,4,4.0,○
HFS6-3030-50,アルミフレーム,6,6.0,○
HFS6-3030-650,アルミフレーム,1,1.0,○
HFS6-3030-840,アルミフレーム,2,2.0,○
HFS6-3030-867,アルミフレーム,2,2.0,○
HFS6-3030-950,アルミフレーム,1,1.0,○
HFS8-4080-100,アルミフレーム,4,4.0,○
FJFNS20-100,アジャスタパッド,6,6.0,○
M566-01001,架台,1,1.0,○
M566-01002,スペースカバー1,1,1.0,○
M566-01003,スペースカバー2,1,1.0,○
M566-01004,カバー連結板,1,1.0,○
M566-01005,センサーブラケット,2,2.0,○
M566-01006,分散板,6,6.0,×
M566-01007,分散板ゴムシート,6,6.0,○
M566-02001,コラムベース,2,2.0,×
M566-02002C,コラムスタンド1,1,1.0,×
M566-02002C,コラムスタンド1,1,1.0,×
M566-02003C,コラムスタンド2,1,1.0,×
M566-02003C,コラムスタンド2,1,1.0,×
M566-02004,コラムリブ1,1,1.0,×
M566-02005,モーターベース,2,2.0,×
M566-02006,軸受けスタンド,4,4.0,×
M566-02007,軸受けベース,2,2.0,×
M566-02008,ベアリングホルダ,2,2.0,×
M566-02009,ベアリングスペーサ1,2,2.0,○
M566-02010,ボールねじ,2,2.0,×
M566-02011,ボールスプライン,4,,○
M566-02012,縦スライドプレート,2,2.0,×
M566-02013,センサードグ,2,2.0,○
M566-02014,センサープレート,4,4.0,○
M566-02015,縦スライドベース,2,2.0,×
M566-02016,バッファベース,2,2.0,×
M566-02017,横スライドベース,1,1.0,×
M566-02018,NL押さえ1,1,1.0,×
M566-02022,加熱ブロック1,2,2.0,△
M566-02023,加熱ブロック2,2,2.0,△
M566-02024,搬送プレート,4,4.0,×
M566-02024-ACC,搬送プレート,4,4.0,○
t5×30×1000,M566-02024-ACC　材料1,1,1.0,○
M566-02025B,横スライドベース,1,1.0,×
M566-02026,横スライドプレート,1,1.0,×
M566-02027,横スライドガイド,1,1.0,×
M566-02029,加熱ブロック3,2,2.0,△
M566-02030,加熱ブロック4,2,2.0,△
M566-02031B,横スライドリブ,2,2.0,×
M566-02032,横ジョイントベース,1,1.0,×
M566-02033,横ジョイントプレート,1,1.0,×
M566-02034,横ジョイントリブ,1,1.0,×
M566-02035,横アダプタガイド,2,2.0,×
M566-02036,横アダプタ,1,1.0,×
M566-02037,横センターコマ,1,1.0,×
M566-02038B,横アクチュエータプレート,1,1.0,×
M566-02039B,コラムスタンド3,1,1.0,×
M566-02040B,コラムスタンド4,1,1.0,×
M566-02041B,コラムリブ2,1,1.0,×
M566-02042B,NL押さえ2,1,1.0,×
M566-02043B,縦スライドプレート,1,1.0,×
M566-02044,縦スライドストッパ,1,1.0,×
M566-02045,クランプベース,1,1.0,×
M566-02046,クランプスペーサ,2,2.0,×
M566-02047,クランププレート,1,1.0,×
M566-02048,クランプガイド,1,1.0,×
M566-02049,加熱ベース,1,1.0,○
M566-02050,加熱スライドベース,1,1.0,○
M566-02051,加熱スライドリブ,1A,1.0,○
M566-02051,加熱スライドリブ,1B,1.0,○
M566-02052,加熱ジョイントプレート,1,1.0,○
M566-02053,加熱バッファベース,1,1.0,○
M566-02054,加熱ガイドブロック,4,4.0,×
M566-02055,加熱スライドスペーサ,2,2.0,○
M566-02056,加熱スライドブロック,1,1.0,○
M566-02057,加熱スペーサ,1,1.0,○
M566-02058,放熱カバー,2,2.0,○
M566-02059,加熱位置決めブロック,1,1.0,×
M566-02060,加熱ばねブロック,1,1.0,○
M566-02063,加熱ブロック5,1,1.0,△
M566-02064,加熱ブロック6,1,1.0,△
M566-02065,昇降ベース,1,1.0,○
M566-02066,スライドプレート,1,1.0,○
M566-02067,リブ,1,1.0,○
M566-02068,板合わせベース,1,1.0,○
M566-02069,板合わせブロック,1,1.0,×
M566-02070,右支えベース,1,1.0,×
M566-02071,右支えリブ,2,2.0,×
M566-02072,右支えプレート,1,1.0,×
M566-02073,右支えブロック,1,1.0,×
M566-02074,左支えベース,1,1.0,×
M566-02075,左支えリブ,2,2.0,×
M566-02076,左支えプレート,1,1.0,×
M566-02077,左支えブロック,1,1.0,×
M566-02078,駆動カバー,2,2.0,○
送料,,1式,1.0,×
M566-92001,電装側ナット板,1,1.0,×
M566-92002,操作側ナット板,1,1.0,×
M566-92003,ジョイントベース,2,2.0,○
M566-92004,ジョイントプレート,2,2.0,○
M566-92005,ブレーカーブラケット,1,1.0,×
M566-92006,F350ブラケット,1,1.0,○
%SC2605-2007J-HFS6-3030-1940,アルミフレーム,1,1.0,○
HBLFS6-C-SEP,突起ブラケット,62,62.0,○
HBLFSDK8-C-SEP,突起付反転ブラケット,8,8.0,○
HBLFSNE6-C-SEP,片側突起付ブラケット,8,8.0,○
HFC6-3030-S,フレームキャップ,6,6.0,○
HFS6-3030-1455,アルミフレーム,3,3.0,○
HFS6-3030-1485,アルミフレーム,2,2.0,○
HFS6-3030-1940,アルミフレーム,5,5.0,○
HFS6-3030-340,アルミフレーム,4,4.0,○
HFS6-3030-343,アルミフレーム,4,4.0,○
HFS6-3030-400,アルミフレーム,4,4.0,○
HFS6-3030-50,アルミフレーム,6,6.0,○
HFS6-3030-650,アルミフレーム,1,1.0,○
HFS6-3030-840,アルミフレーム,2,2.0,○
HFS6-3030-867,アルミフレーム,2,2.0,○
HFS6-3030-950,アルミフレーム,1,1.0,○
HFS8-4080-100,アルミフレーム,4,4.0,○
FJFNS20-100,アジャスタパッド,6,6.0,○
HFBL45A6-3030-500,補強用フレームブラケット直角45度形状タイプ,2,2.0,○
GL-VB31,GL-VB01 用中間支持具,1,1.0,○
GL-VB01,小型角度調整取付具,1,1.0,○
GL-VP10S,本体接続ケーブル,1,1.0,○
GL-VM143FN,小型堅牢ライトカーテン,1,1.0,○
HBLBS6,ブラインドジョイント,2,2.0,×
ALS-080-R-30H-30H,カップリング,2,2.0,○
PSCSPD40,セットカラー,8,8.0,○
PSCSM40-18,セットカラー,8,8.0,○
PSCSM15-12,セットカラー,4,4.0,○
